spread_id,spread_name,normalized_name,card_count,keywords,description,positions
11,THE CELTIC CROSS SPREAD,celtic cross,10,"complex, obstacles challenges, detailed analysis, comprehensive, past influences, conclusion, traditional spread, traditional, resolution, complex spread, consequence, complex situation, ending, result, fortune telling","The Celtic Cross Spread is one of the oldest and most commonly used tarot spreads in tarot reading. The layout is uncomplicated, yet powerful. It is particularly useful for general questions and outcomes. This is the spread I prefer to use for an overall tarot reading.","[{'position_num': 1, 'position_name': 'Present Situation (Covered Card)', 'position_meaning': 'Your present situation or state.'}, {'position_num': 2, 'position_name': 'Crossing (Challenge)', 'position_meaning': 'Immediate opposing forces influencing you, either positive or negative.'}, {'position_num': 3, 'position_name': 'Foundation (Root Cause)', 'position_meaning': 'Deep influences or distant past issues still affecting your situation.'}, {'position_num': 4, 'position_name': 'Behind (Past Influence)', 'position_meaning': 'Recent past events influencing your present.'}, {'position_num': 5, 'position_name': 'Crowning (Best Outcome)', 'position_meaning': 'The best possible resolution or outcome.'}, {'position_num': 6, 'position_name': 'Before (Near Future)', 'position_meaning': 'Upcoming circumstances that may influence your situation soon.'}, {'position_num': 7, 'position_name': 'Self (You)', 'position_meaning': 'Your feelings and attitudes about your current situation.'}, {'position_num': 8, 'position_name': 'Environment (Opinions)', 'position_meaning': 'How others are viewing and reacting to your situation.'}, {'position_num': 9, 'position_name': 'Hopes and Fears', 'position_meaning': 'Your hopes, expectations, and hidden fears regarding the situation.'}, {'position_num': 10, 'position_name': 'Outcome', 'position_meaning': 'The most likely result if things continue as they are.'}]"
12,THE ROMANCE TAROT CARD SPREAD (7 CARDS),romance tarot card (7 cards),7,"specific guidance, romance, fortune telling, emotional connection, divination, focused reading, relationship, moderate spread, passion, attraction, detailed insight, prediction","When approaching the tarot with questions of love and romance, it's always important to remember that you have control over your own actions and behaviors. If something doesn't feel quite right, this should be acknowledged. Nothing is set in stone and the tarot cards can change from day to day. This is largely due to the fact that our relationships have frequent changes of energy.","[{'position_num': 1, 'position_name': 'Hope for Romance', 'position_meaning': 'Is there hope of finding romance in the future?'}, {'position_num': 2, 'position_name': 'Comparison to Past Lovers', 'position_meaning': 'Will the new lover be similar to past lovers?'}, {'position_num': 3, 'position_name': 'Relationship Safety', 'position_meaning': 'Will the relationship feel safe and secure?'}, {'position_num': 4, 'position_name': 'Commitment', 'position_meaning': 'Will there be commitment in the relationship?'}, {'position_num': 5, 'position_name': 'Marriage Potential', 'position_meaning': 'Is marriage a possibility in the relationship?'}, {'position_num': 6, 'position_name': 'Longevity', 'position_meaning': 'Will the relationship be lasting and fruitful?'}, {'position_num': 7, 'position_name': 'Advice for Lasting Love', 'position_meaning': 'What can be done to find true and lasting love?'}]"
13,THE HORSESHOE TAROT CARD SPREAD,horseshoe tarot card,7,"hidden factors, specific guidance, external influences, obstacles, soul, employment, outcome, past influences, conclusion, advice, focused reading, job, higher self, ending, result","The Horseshoe Spread is an excellent tool for gaining a deeper understanding of a particular question or situation. It is straight forward and offers a thorough examination of a particular area of interest. The beauty of the Horseshoe Spread lies in its versatility. It can be applied to any subject you wish to explore. It can be a useful spread for a variety of questions, including questions about relationships, career, spirituality or finance.","[{'position_num': 1, 'position_name': 'Past Influences', 'position_meaning': 'The past influences that may be affecting your situation (recent or distant past).'}, {'position_num': 2, 'position_name': 'Present Situation', 'position_meaning': 'Current matters affecting your situation in the present.'}, {'position_num': 3, 'position_name': 'Hidden Factors', 'position_meaning': 'Hidden factors you may not be aware of that could emerge soon.'}, {'position_num': 4, 'position_name': 'Current Obstacles', 'position_meaning': 'Obstacles that are challenging you right now.'}, {'position_num': 5, 'position_name': 'External Influences', 'position_meaning': 'The influence of people around you (attitudes and behaviors affecting the situation).'}, {'position_num': 6, 'position_name': 'Solution/Potential Obstacles', 'position_meaning': 'Potential obstacles and the best course of action to resolve your situation.'}, {'position_num': 7, 'position_name': 'Final Outcome', 'position_meaning': 'The possible results of implementing the solution from Card 6.'}]"
14,THE CAREER PATH TAROT CARD SPREAD (7 CARDS),career path tarot card (7 cards),7,"specific guidance, professional development, employment, job search, focused reading, job, work environment, fortune telling, career path, business decision, vocation, work, divination, professional success, profession","The Career Path Spread is an excellent tarot spread for answering questions regarding your professional life. It is a great tool for understanding and working through current stumbling blocks by suggesting strategies to on how to deal with issues that may be affecting your ability to move forward or get a promotion. It can also highlight opportunities for personal realization and financial prosperity by revealing the influences and blocks that may be prohibiting you from making needed changes within your career. If you are not happy with your career, perhaps you should be exploring a different career or profession altogether? If so, the Career Path Spread can suggest alternatives that may lie in front of you. To this end, it can also be a useful spread for determining which career path would best match your personal strengths and aptitudes.","[{'position_num': 1, 'position_name': 'Present Career Path', 'position_meaning': 'Represents your current career path and asks if you’re truly on the path you desire.'}, {'position_num': 2, 'position_name': 'Actions to Advance', 'position_meaning': 'Actions you can take to advance your career.'}, {'position_num': 3, 'position_name': 'Unchangeable Aspects', 'position_meaning': 'Aspects of your career that will be difficult or impossible to change.'}, {'position_num': 4, 'position_name': 'Current Performance', 'position_meaning': 'Your current career status or performance.'}, {'position_num': 5, 'position_name': 'Personal Improvements', 'position_meaning': 'Personal changes you can make to improve your career performance.'}, {'position_num': 6, 'position_name': 'Past Influences', 'position_meaning': 'Past issues that may be affecting your career performance in the present.'}, {'position_num': 7, 'position_name': 'Anticipated Results', 'position_meaning': 'The expected results of your career path if you follow the guidance.'}]"
15,THE RELATIONSHIP TAROT CARD SPREAD (15 CARDS),relationship tarot card (15 cards),15,"romance, ending, comprehensive reading, partnership, result, fortune telling, divination, romantic feelings, detailed analysis, relationship dynamics, compatibility, complex spread, in-depth guidance, relationship advice, prediction","Tarot is a great tool for helping you to understand your partner. The tarot enables you to explore the areas in your relationship that need growth, balancing and the expectations of each partner.","[{'position_num': 1, 'position_name': 'Your Contribution', 'position_meaning': 'What you bring into the relationship / what you provide.'}, {'position_num': 2, 'position_name': 'Current Position (You)', 'position_meaning': 'Where you are now, in relation to the other person / your current standing.'}, {'position_num': 3, 'position_name': 'Your Hopes', 'position_meaning': 'What you hope to get from the relationship / your future expectations.'}, {'position_num': 4, 'position_name': 'Their Contribution', 'position_meaning': 'What the other person is bringing into the relationship / their hopes.'}, {'position_num': 5, 'position_name': 'Their Current Position', 'position_meaning': 'What they are getting out of it / their present standing.'}, {'position_num': 6, 'position_name': 'Their Hopes', 'position_meaning': 'What they hope to achieve or experience with you / what they provide.'}, {'position_num': 7, 'position_name': 'Your View of Them', 'position_meaning': 'How you see the other person / your perception.'}, {'position_num': 8, 'position_name': 'Their View of You', 'position_meaning': 'How they see you / their perception of you.'}, {'position_num': 9, 'position_name': 'Your First Impression', 'position_meaning': 'How you perceived them when you first met.'}, {'position_num': 10, 'position_name': 'Their First Impression', 'position_meaning': 'How they perceived you when you first met.'}, {'position_num': 11, 'position_name': 'Your Fears', 'position_meaning': 'Your anxieties / unconscious fears / present worries.'}, {'position_num': 12, 'position_name': 'Their Fears', 'position_meaning': 'Their anxieties / unconscious fears / present worries.'}, {'position_num': 13, 'position_name': 'External Influence on You', 'position_meaning': 'External influences motivating you.'}, {'position_num': 14, 'position_name': 'External Influence on Them', 'position_meaning': 'External influences motivating them.'}, {'position_num': 15, 'position_name': 'Relationship Future', 'position_meaning': 'Where the relationship will go / outcome of the relationship.'}]"
16,THE SELF-HEALING TAROT CARD SPREAD (6 CARDS),self-healing tarot card (6 cards),6,"higher self, recovery, specific guidance, wellness, health issues, fortune telling, spiritual healing, divination, detailed insight, physical healing, focused reading, prediction, holistic health, soul, moderate spread","Although many people regard tarot reading as a tool for divination, it can also be extremely helpful tool for exploring psychological issues. One such issue we nearly all have to deal with on some level are past traumas. Unfortunately, past traumas can leave ""emotional blocks"", and whether we are consciously aware of them or not, these blocks can hinder us from experiencing fulfilling relationships, abundance and contentment. If left unhealed, they can prevent us from growing and finding true happiness.","[{'position_num': 1, 'position_name': 'Core Emotional Block', 'position_meaning': 'The greatest emotional block, trauma, or issue from the past that is preventing forward movement.'}, {'position_num': 2, 'position_name': ""Block's Past Impact"", 'position_meaning': 'How this emotional block has affected past relationships.'}, {'position_num': 3, 'position_name': ""Block's Current Impact"", 'position_meaning': 'How this emotional block is currently affecting personal growth and present relationships.'}, {'position_num': 4, 'position_name': 'Self-Discovery', 'position_meaning': 'New things about yourself that can be learned from this exploration.'}, {'position_num': 5, 'position_name': 'Actions for Growth', 'position_meaning': 'Actions (emotional or otherwise) to overcome emotional blocks and encourage self-healing.'}, {'position_num': 6, 'position_name': 'Spiritual Lesson', 'position_meaning': 'The guiding spiritual lesson learned through this exploration.'}]"
17,THE PARTNERS TAROT CARD SPREAD (12 CARDS),partners tarot card (12 cards),12,"romance, comprehensive reading, fortune telling, emotional connection, divination, in-depth guidance, detailed analysis, complex spread, relationship, passion, attraction, prediction","There are certain tarot spreads that can be done with your partner whether it is a friend, business partner or love interest. On of the most effective is the Tarot Partner Spread. This spread is an excellent tool for increasing the dialogue between you and your partner. I have found that when this is utilized on a regular basis, a couple can re-discover their relationship in an entirely new way.","[{'position_num': 1, 'position_name': 'First Partner', 'position_meaning': '**Learning from Partner 2**'}, {'position_num': 2, 'position_name': 'Second Partner', 'position_meaning': '**Learning from Partner 1**'}, {'position_num': 3, 'position_name': 'First Partner', 'position_meaning': '**Expectations from Partner 2**'}, {'position_num': 4, 'position_name': 'Second Partner', 'position_meaning': '**Expectations from Partner 1**'}, {'position_num': 5, 'position_name': 'First Partner', 'position_meaning': '**How to Support Partner 2**'}, {'position_num': 6, 'position_name': 'Second Partner', 'position_meaning': '**How to Support Partner 1**'}, {'position_num': 7, 'position_name': 'First Partner', 'position_meaning': '**Improving as a Partner (Partner 1)**'}, {'position_num': 8, 'position_name': 'Second Partner', 'position_meaning': '**Improving as a Partner (Partner 2)**'}, {'position_num': 9, 'position_name': 'First Partner', 'position_meaning': '**Partner 2’s Needs from Me**'}, {'position_num': 10, 'position_name': 'Second Partner', 'position_meaning': '**Partner 1’s Needs from Me**'}, {'position_num': 11, 'position_name': 'First Partner', 'position_meaning': '**Direction for Relationship**'}, {'position_num': 12, 'position_name': 'Second Partner', 'position_meaning': '**Direction for Relationship**'}]"
18,THE YEAR AHEAD TAROT SPREAD (13 CARDS),year ahead tarot (13 cards),12,"comprehensive reading, fortune telling, calendar year, twelve months, divination, in-depth guidance, detailed analysis, complex spread, annual, long-term planning, yearly, prediction",The Year Ahead Tarot Spread identifies the issues that can influence your year to come. I find this spread to be particularly helpful for setting goals.,"[{'position_num': 1, 'position_name': '1-January', 'position_meaning': 'Events and influences for the month of January'}, {'position_num': 2, 'position_name': '2-February', 'position_meaning': 'Events and influences for the month of February'}, {'position_num': 3, 'position_name': '3-March', 'position_meaning': 'Events and influences for the month of March'}, {'position_num': 4, 'position_name': '4-April', 'position_meaning': 'Events and influences for the month of April'}, {'position_num': 5, 'position_name': '5-May', 'position_meaning': 'Events and influences for the month of May'}, {'position_num': 6, 'position_name': '6-June', 'position_meaning': 'Events and influences for the month of June'}, {'position_num': 7, 'position_name': '7-July', 'position_meaning': 'Events and influences for the month of July'}, {'position_num': 8, 'position_name': '8-August', 'position_meaning': 'Events and influences for the month of August'}, {'position_num': 9, 'position_name': '9-September', 'position_meaning': 'Events and influences for the month of September'}, {'position_num': 10, 'position_name': '10-October', 'position_meaning': 'Events and influences for the month of October'}, {'position_num': 11, 'position_name': '11-November', 'position_meaning': 'Events and influences for the month of November'}, {'position_num': 12, 'position_name': '12-December', 'position_meaning': 'Events and influences for the month of December'}]"
19,THE ASTROLOGICAL TAROT CARD SPREAD (13 CARDS),astrological tarot card (13 cards),13,"wellness, detailed analysis, prosperity, soul, job, complex spread, finances, higher self, fortune telling, wealth, in-depth guidance, attraction, healing, physical wellbeing, romance","All seventy-eight cards of the Tarot should be spread in a fan-shape, face down. The individual may then pick a total of thirteen cards, which are positioned, in the order they are chosen, in the Astrological Spread.","[{'position_num': 1, 'position_name': 'Aries - Basic personality', 'position_meaning': 'Describes how the individual shows personality, how one works through difficulties.'}, {'position_num': 2, 'position_name': 'Taurus - Possessions', 'position_meaning': 'Financial situation or beliefs about finances and material matters.'}, {'position_num': 3, 'position_name': 'Gemini - Communication', 'position_meaning': 'Communication, expression, interaction, and what could be improved.'}, {'position_num': 4, 'position_name': 'Cancer - Domestic life', 'position_meaning': 'Emotional or physical home life, emotional security, or housing needs.'}, {'position_num': 5, 'position_name': 'Leo - Love life', 'position_meaning': 'Romance, art, pleasure, passion, and creativity (interpreted along with Libra & Capricorn).'}, {'position_num': 6, 'position_name': 'Virgo - Work life', 'position_meaning': 'Health, work, daily routine, mental, physical or spiritual condition.'}, {'position_num': 7, 'position_name': 'Libra - One-to-one relationships', 'position_meaning': 'Romantic, business, or friendships; partnerships of all kinds.'}, {'position_num': 8, 'position_name': 'Scorpio - Major changes', 'position_meaning': 'Emotional issues or serious matters such as sex, money, death, or transformation.'}, {'position_num': 9, 'position_name': 'Sagittarius - Learning', 'position_meaning': 'Education, hope, optimism, expansion of beliefs and attitudes.'}, {'position_num': 10, 'position_name': 'Capricorn - Achievements', 'position_meaning': 'Ambition, career drive, talents, life calling, or true work.'}, {'position_num': 11, 'position_name': 'Aquarius - Social life', 'position_meaning': 'Friends, groups, organizations; existing social life or hopes for the future.'}, {'position_num': 12, 'position_name': 'Pisces - Mystical life', 'position_meaning': 'Secrets, hidden fears, vulnerabilities, blocks, and subconscious obstacles.'}, {'position_num': 13, 'position_name': 'Overall Summary', 'position_meaning': 'The general life outlook synthesized from all other cards.'}]"
20,THE PSYCHOLOGICAL TAROT SPREAD (6 CARDS),psychological tarot (6 cards),6,"higher self, specific guidance, ending, result, fortune telling, divination, detailed insight, focused reading, moderate spread, soul, spirituality, prediction, conclusion","The Psychological Tarot Spread is a great spread for examining any emotional issues that may be affecting you. Through the process of exploration and discovery, this spread can reveal a great deal about the inner psyche. It does this by revealing any negative emotional issues that may be challenging you, such as your fears and anxieties, as well as the more positive aspects, such as your dreams and aspirations. In the end, you will hopefully have a better understanding of yourself, your challenges, and a suggested course of action that will hopefully lead to a resolution to the emotional issues that may be troubling you.","[{'position_num': 1, 'position_name': 'Desires, Wishes, Dreams', 'position_meaning': 'Represents your desires, wishes, and dreams.'}, {'position_num': 2, 'position_name': 'Feelings and Emotions', 'position_meaning': 'Represents your current feelings and emotions.'}, {'position_num': 3, 'position_name': 'Emotional Challenges', 'position_meaning': 'Reflects emotional challenges such as sadness, anxiety, or fear.'}, {'position_num': 4, 'position_name': 'Areas of Discouragement', 'position_meaning': 'Represents areas where you feel discouraged or disappointed.'}, {'position_num': 5, 'position_name': 'Spiritual Lessons & Guidance', 'position_meaning': 'Shows significant spiritual lessons and guidance needed in daily life.'}, {'position_num': 6, 'position_name': 'Areas for Attention & Outcome', 'position_meaning': 'Reveals areas needing more attention and consideration; also suggests a possible outcome if guidance is followed.'}]"
21,THE TRIANGLE OF LOVE (10 CARD),triangle of love (10 card),10,"romance, comprehensive reading, fortune telling, emotional connection, divination, in-depth guidance, detailed analysis, complex spread, relationship, passion, attraction, prediction",This spread can probably be easily adapted to non-love questions but I think its great for that person who doesn't have a special someone who wants to know why their love life isn't what they want it to be.,"[{'position_num': 1, 'position_name': 'Present Problem', 'position_meaning': 'Represents the current issue or situation in the querent’s love life.'}, {'position_num': 2, 'position_name': 'Childhood Influences', 'position_meaning': 'Shows childhood influences or what the querent was taught about love.'}, {'position_num': 3, 'position_name': 'Adolescent/Young Adult Lessons', 'position_meaning': 'Reflects early adult lessons or experiences about love.'}, {'position_num': 4, 'position_name': 'Recent Past', 'position_meaning': 'Represents what has happened in the querent’s love life within the last year.'}, {'position_num': 5, 'position_name': 'Current Influences', 'position_meaning': ""Current factors or circumstances influencing the querent's love life.""}, {'position_num': 6, 'position_name': 'Future Path', 'position_meaning': 'Where the current path may lead if no changes are made.'}, {'position_num': 7, 'position_name': 'Work On', 'position_meaning': 'What the querent needs to focus on or work on for improvement.'}, {'position_num': 8, 'position_name': 'Help', 'position_meaning': 'Who or what can help the querent.'}, {'position_num': 9, 'position_name': 'Avoid', 'position_meaning': 'Who or what the querent should avoid.'}, {'position_num': 10, 'position_name': 'Summary & Final Advice', 'position_meaning': 'Provides final advice and summarizes the reading.'}]"
22,THE TREE OF LIFE SPREAD (10 CARD),tree of life (10 card),10,"ending, comprehensive reading, result, fortune telling, divination, in-depth guidance, detailed analysis, complex spread, prediction, conclusion",,"[{'position_num': 1, 'position_name': 'Aims or Ideals', 'position_meaning': 'What the querent would like to achieve.'}, {'position_num': 2, 'position_name': 'Influences', 'position_meaning': 'What is influencing the situation.'}, {'position_num': 3, 'position_name': 'General Nature', 'position_meaning': 'The general nature of the question; defines it more completely.'}, {'position_num': 4, 'position_name': 'The Key', 'position_meaning': 'An unseen key or answer that can help resolve the situation or achieve the goal.'}, {'position_num': 5, 'position_name': 'Present Influences', 'position_meaning': 'Present circumstances that need to be considered.'}, {'position_num': 6, 'position_name': 'Future Influences', 'position_meaning': 'Factors or events that may influence the situation in the future.'}, {'position_num': 7, 'position_name': 'Effect of the Significator', 'position_meaning': ""How the querent's own role or energy affects the situation.""}, {'position_num': 8, 'position_name': 'Environmental Effect', 'position_meaning': 'The effect of people, surroundings, and external conditions.'}, {'position_num': 9, 'position_name': 'Hopes and Fears', 'position_meaning': 'The querent’s hopes, expectations, or fears related to the situation.'}, {'position_num': 10, 'position_name': 'Final Outcome', 'position_meaning': 'The most likely result or answer to the querent’s question.'}]"
